HospitalID	Work_ID	LastName	FirstName	Gender	PositionID	PositionTitle	Compensation	MaxTerm	StartDate	Phone	Email	Name	Zip	Website	TypeControl	Teaching	DonorType	NoFTE	NetPatRev	InOperExp	OutOperExp	OperRev	OperInc	AvlBeds
44817	363672	Marlin	Bill	M	2	State Board Representative	89473	3	1/1/2010	503-645-7508	bill.marlin@larcmed.com	Fairchild Medical Center	96097-3450	www.fairchildmed.org	Non Profit	Small/Rural	Charity	250.0	108162.9126	14859739.23	23623658.77	40140721	1657323	25
17741	363672	Marlin	Bill	M	4	Safety Inspection Member	23987	2	1/1/2011	503-645-7508	bill.marlin@larcmed.com	St. Elizabeth Community Hospital	96080	redbluff.mercy.org/index.htm	Non Profit	Small/Rural	Charity	397.5	232503.0191	36682888.7	36739260.3	85808509	12386360	66
20231	966527	Flemming	Kris	F	2	State Board Representative	89473	3	1/1/2012	503-758-9066	kris.flemming@larcmed.com	Hanford Community Medical Center	93230-3513	www.hanfordhealth.com	Non Profit	Small/Rural	Charity	777.0	363127.5956	53704666.43	70582081.57	134067466	9780718	121
37285	304224	Wood	Emily	F	4	Safety Inspection Member	23987	2	1/1/2011	785-532-1661	emily.wood@hsu.edu	Twin Cities Community Hospital	93465	www.twincitieshospital.com	Investor	Small/Rural	Charity	359.0	240737.9563	53252019.74	22922297.26	88495493	12321176	84
20266	231581	Adams	Sandy	F	1	Regional Representative	46978	4	1/1/2009	785-532-3333	sandy.adams@comenitymed.com	Sonora Regional Medical Center - greenley	95370	www.sonorahospital.org	Non Profit	Small/Rural	Charity	779.0	367540.6639	68228848.83	69968859.17	139302913	1105205	152
28812	908658	Holmes	Holly	F	3	Acting Director	248904	8	1/1/2003	785-532-4515	holly.holmes@asu.edu	Oak Valley District Hospital	95361	www.oakvalleycares.org	District	Small/Rural	Charity	503.0	137280.7104	19495615.83	29846903.17	50915214	1572695	150
19868	318165	Coulter	Tracy	F	1	Regional Representative	46978	4	1/1/2010	785-532-6548	tracy.coulter@wou.edu	Ojai Valley Community Hospital	93023-3163	www.cmhhospital.org	Non Profit	Small/Rural	Charity	180.0	59504.62295	11955296.77	10326804.23	22492281	210180	103
45067	926378	Adamson	David	M	4	Safety Inspection Member	23987	2	1/1/2012	785-532-7573	david.adamson@txbiomed.net	Glenn Medical Center	95988-2745	www.glennmed.org	Non Profit	Small/Rural	Charity	100.0	29712.3306	2076879.134	9501694.866	11932140	353566	15
20225	856720	Roberts	Melissa	F	4	Safety Inspection Member	23987	2	1/1/2011	785-532-9779	melissa.roberts@txbiomed.net	Frank R. Howard Memorial Hospital	95490-4225	www.howardhospital.com	Non Profit	Small/Rural	Charity	226.0	94015.90984	17300751.23	14392070.77	34945064	3252242	25
46996	856720	Roberts	Melissa	F	4	Safety Inspection Member	23987	2	1/1/2009	785-532-9779	melissa.roberts@txbiomed.net	Ridgecrest Regional Hospital	93555	www.rrh.org	Non Profit	Small/Rural	Charity	400.0	139170.3798	23385570.1	24661355.9	51087341	3040415	55
20277	398103	Johanson	Sandy	F	1	Regional Representative	46978	4	1/1/2012	801-216-4821	sandy.johanson@ihc.com	Ukiah Valley Medical Center	95482	www.uvmc.org	Non Profit	Small/Rural	Charity	503.5	214516.4481	32709222.65	43571851.35	79005075	2724001	65
37436	398103	Johanson	Sandy	F	2	State Board Representative	89473	3	1/1/2012	801-216-4821	sandy.johanson@ihc.com	Fallbrook Hospital	92028	www.fallbrookhospital.com	District	Small/Rural	Charity	501.0	108960.418	23001687.34	14727466.66	40329849	2600695	146
33251	411280	Manin	Emily	F	2	State Board Representative	89473	3	1/1/2009	801-223-6845	emily.manin@ihc.com	Sutter Coast Hospital	95531-8359	www.suttercoast.org	Non Profit	Small/Rural	Charity	363.0	172398.8579	22781278.48	38582723.52	63398216	2034214	59
37393	909709	Iwata	Akira	M	1	Regional Representative	46978	4	1/1/2011	801-611-9161	akira.iwata@hsu.edu	Barstow Community Hospital	92311	www.barstowhospital.com	Investor	Small/Rural	Charity	262.0	116797.8306	13684502.49	15159986.51	42845642	14001153	42
38798	909709	Iwata	Akira	M	1	Regional Representative	46978	4	1/1/2011	801-611-9161	akira.iwata@hsu.edu	Goleta Valley Cottage Hospital	93111	www.sbch.org	Non Profit	Small/Rural	Charity	288.0	335179.5574	53589036.09	67030147.91	126303054	5683870	119
17700	704360	Frank	Vernon	M	3	Acting Director	248904	8	1/1/2005	801-687-2845	vernon.frank@ihc.com	Mark Twain St. Joseph's Hospital	95249	www.marktwainhospital.com	Non Profit	Small/Rural	Charity	236.5	116609.8169	17857498.72	22701126.28	43342578	2783953	26
46342	768057	Tanner	Patricia	F	3	Acting Director	248904	8	1/1/2011	801-687-7877	patricia.tanner@prohealth.net	Coalinga Regional Medical Center	93210	www.coalingamedicalcenter.com	District	Small/Rural	Charity	160.0	65792.42623	15341310.03	7916539.968	24164520	906670	131
29823	768057	Tanner	Patricia	F	3	Acting Director	248904	8	1/1/2009	801-687-7877	patricia.tanner@prohealth.net	Colusa Regional Medical Center	95932-2954	www.colusamedicalcenter.org	Non Profit	Small/Rural	Charity	168.0	51726.4918	9022366.447	10402509.55	19445901	21025	48
